,prompt,answers
32,This is a brilliant political satire,"This is a brilliant political satire that is an excellent film to watch.<br /><br />This film is amazing, brilliantly acted, and very well told. It is one of the best film I have seen, I've seen a lot, almost all of, the major theatre chains, all major festivals, major theatres, huge parties, even in Germany, every big restaurant, bar, nightclub and club in a great country, in the world, everywhere, is great, everyone, it's an amazing movie. Everyone in this movie is brilliant, everybody is very funny, especially the people I admire.< br />A must see for all political liberals and anyone who just wants a good political movie! It's incredible, incredible and I loved it! I highly recommend watching this! The very first time you see it, you will feel the same way about it the second time, so it is just the perfect movie for you. <br *r=** out of 10. I recommend it to everyone!<br @>< br />I highly highly suggest it for anyone to see, to learn much more about, for the first few minutes, then the final ten, if you are a liberal or not. You will be amazed at what you learn from this amazing film. This film makes"
33,You play as B,"You play as Brelnikov, a Russian military officer who goes from a very wealthy to very rich man. He is a fine actor, and his performances make you feel what it's like to live in a working class and in the society of his time. I loved his performance, especially the way he talks to his son and the ways in which he tells the story.<br /><br />I really enjoyed the film, both in its story and for the acting. It is an excellent film and I recommend it to all actors and actresses around the world. If you are looking for an incredibly good film for a change, then then by all means watch this film. You will feel right at home with it, it is very unique, very realistic, wonderful to listen to, to think, of the different aspects of life, the social situations, what you say and what happens to people, how you think and feel.<Br / />If you like acting, you will love this wonderful film! There is no way to describe how incredible this movie is. The acting is fantastic, by the end, I'm sure most of you have seen it already, which is well worth the price we're paying. For me, this is one of my all time favorite movies. While I've never"
34,This film caught me by surprise,"This film caught me by surprise from the start, it was a great movie and I loved it. It is a wonderful film and an amazingly beautiful movie. I think this film is perfect for anyone who likes an excellent movie made in the style of real life. This film also gives great insight into how people actually live and feel. The film gives an amazing insight where people are actually real people and the story is fantastic. Every scene is touching and a perfect fit for my unique personality. Although this is my first film, I do think everybody should be able to relate to this wonderful movie! I highly recommend this movie to anyone considering this a must see. A must for any film / video lover and video geek. Definitely recommend it to people who like to experience reality. If you are into movies and movies created by the director and you like the movie it is an incredible must have! This movie gives it the ultimate edge that anyone in this field will have, making this perfect movie for anybody who is into the subject matter. Everyone should have a good time with this amazing movie, and everyone will love it!!!! This is great for everyone! If this was the first movie I ever bought, my rating would have been much higher! When I picked this up I was very new to it, being used to all"
35,I was lucky enough to catch this movie while volunteering at the Maryland Film Festival,"I was lucky enough to catch this movie while volunteering at the Maryland Film Festival in 2005 and was pleasantly surprised at how well it turned out. The acting is superb, the story is compelling and I think the film is a perfect blend of cinema and film. It is great to see a film that is so well-acted, thought through and well told. I highly recommend it to anyone looking to make a great film, or anyone who believes in true history. This film shows the true story of the man who got himself the Great War. In this film I believe that it was this man and his life that caused the great crisis that ended World War I. He is the most extraordinary man I have ever known, and this is what I am going to be talking about. There is no shortage of great actors, actresses and actresses in the world today. As with many great films, this one is very well made. If you have never heard of it, it is an excellent film to watch because it has amazing pictures of people and people of different races, ages and ethnicities. And it also has great music, great acting and a superb story. You will get the feeling that you are in for this great movie. People who have seen this have also said that the music and the acting are perfect. One of my personal favourites of all time is"
36,THE JIST: See something else,"THE JIST: See something else! <br /><br />FINAL THOUGHTS: This movie is incredible. It is a great movie. I love it. And I like movies where you have to look at what would happen in a story. This is one of those movies that I have seen, and loved. How it works out is amazing. The acting is great, the story is well thought through, it is fast going, you get the sense of the big-budget film, what the actors did, I think, that they did as well as anybody who has seen this film. There is something about it that is unique to this movie, so it takes a little bit to get into it, but I do think it was great because it has a lot of drama and a very good ending. On the other hand, a certain amount of humor is used in this. You can tell that this is not always a good idea, because sometimes it just works, sometimes you don't! Some people love this type of movie because its a comedy, or at the same time a movie about the way life works. So I loved it because I liked it for two reasons.<br - it's a wonderful movie and I recommend it highly. <BR /> If you find the movie enjoyable"
37,"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank","Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank, and as such is a very beautiful actress, who holds the character in the right way. She makes it very clear from the beginning that she is an actress herself, so I think that is one of the great strengths of this movie, which is also the strength of GONSALVES, the perfect song for her character, as well as for me, it is very emotional in it's depiction of a woman of great power, her life, what it takes to go from that to the next, from to prison, to heaven, back, you know where I am, if you will look carefully, at it you'll be amazed with the beauty of her face and her person she creates. I like how it works out, because the way it unfolds is unique, perfect, for everyone, everybody! I have recently seen this, I first heard about it, when I was a kid, in high school. The movie is perfect for anyone of all ages, whether you're a teenager or a senior, or for anybody who wants to see a movie that has a certain balance between the story and the performances of these two actresses, then I did the same. This movie strikes the balance, both for the characters, with their story, their reactions to it. It"
38,"Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way","Kubrick proved his brilliantness again, now in a suspense-horror film based on Stephen King's book titled the same way as The Others, and it remains one of the most unique films I have ever witnessed, with incredible acting and amazing cinematography. The film is well-paced, full of twists and turns, amazing moments, incredible ideas, brilliant ideas! I highly recommend this film to anybody who loves suspense, action and great story telling! The story is amazing, it is brilliant! It is great to watch people act, the actors, they are amazing! This film also shows the amazing power and the great power of friendship. It's amazing to me that this is a film for everyone, everyone who likes suspense and drama! If you like suspense & drama, you will like this! And I do! Thank you, Mr. Teller, for creating amazing movies for us all! When I first saw this movie, I knew that it was going to be awesome! A great job by the cast, fantastic cinemas, great music, wonderful effects, stunning cinematographing, awesome cinematics, breathtaking images, Amazing visuals, superb film making, phenomenal music and incredible music! These are the people that I think are to win any movie contest, anyone who has seen it, liked it or not should definitely go see this amazing film! There is something so great about it! You"
39,i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me,"i thought this movie was wonderfully plotted it made me confused and my cousin who watched it with me loved it. I enjoyed it very much and will definitely buy it again. It is the perfect little film to help you appreciate the craft of movie making. You will be amazed at the quality this piece of art is able to create every detail of an amazing film. The story is very well told and very unique. This is one movie to take your mind off of the action, drama and the plot. If you like cinema then you will love this one! It has huge potential to bring the beauty of film making to life and make people laugh more easily. In fact the movie makes it easy to make this very simple movie into a film that you won't be disappointed.<br /><br />It definitely comes out of one of my favorite movies ever and it is a must try movie for every movie lover out there and for those who haven't seen it yet. <br -><-]* outta 10! I recommend it highly to anyone who likes action movies, suspenseful twists and great performances. Even if you're not a huge action movie fan then this is an excellent movie and I highly recommend this to any movie lovers out to see it! This movie has the right balance between action and suspense without being overly dramatic. Although I have seen many incredible action films"
40,"The film maybe goes a little far, but if you love the show it's what you expect","The film maybe goes a little far, but if you love the show it's what you expect from it. I highly recommend it to anybody who loves the characters, or is looking for a great movie to watch. It's perfect! I definitely recommend this movie on many levels. If you are a huge Star Trek fan then I recommend you TO watch this film!!! It is a must-see. Many shows have it as their first new show or show of the year, and I've seen it more than 70 times, so all I can say is... I loved it! It has everything you need in a Star Wars movie, the great sets, great storytelling, amazing characters and great acting. This amazing show is great! If a big Star movie was made then my biggest fan would probably pick the film for it because it was amazing and the story is incredible! In this great film I was able to take Trek and make it amazing! This is one great show to start out with, because everyone is different and it is amazing to see who they are! Also I love all the different parts of this show, it has great shows and is fun to listen to. Great shows are always great to me, I have seen some I like a lot, this is definitely one of my favorite shows. My favorite parts in this episode were the parts where the Romulans"
41,This is what makes me proud to be British,"This is what makes me proud to be British. It is an incredible movie that I loved. I am one of those who loved great British films and this is the perfect movie to kick-start my collection. The acting is superb and the story is fantastic. This is a perfect film for the moment when you are at your most immersed in a film, and you want to know how it all works. If you haven't seen it yet, or have never seen the movie, then go and see it if you dare! This movie is very good, with great cinematography, great music, fantastic acting and wonderful special effects. You will thank me greatly for having seen this great first time. All the characters are fantastic, the situations are very unique, well-written, acted and written, I highly recommend this film to anyone who is into great films. As others have said, this movie shows you a great way to get the audience involved in the film. Everyone, everyone, it's very well written. So the question is: What is it about? How does it work? I will say, really simple, as it is, a good film that can make you think. There are a lot of great actors, actors and actresses in this wonderful film which is perfect for anyone that is looking for an outstanding film"
42,"This was the second entry in the regular Columbo series, and it holds up well today","This was the second entry in the regular Columbo series, and it holds up well today as a great series for the Colombo language. The series is excellent, with great actors, great story and great performances by each of the characters. Colomo is a unique and unique city in Colomini, not only for its culture, but also its ethnic background. This is one of Colino's great shows, even though it was written in a different language than the popular Spanish. It is amazing to see how the amazing communities in this great country have formed, how a language is spoken between people with different parts of their lives. In some parts, there is great unity, much difference between different people, people in different countries, many different languages, different cultures, languages spoken across many years, cultures and different races. Through the series I have been able to learn a lot about the people people around me, so I am able more slowly to understand them. I know very well how different different peoples live, also, sometimes different situations, they differ more then they do in their everyday life. You want to know how people live and their customs, their beliefs, prejudices, everything in between. Along with the show, I also watched a new Colero movie called 'Colomo' a few years ago, in which I saw many amazing features, from the city"
43,"Since the advent of literature, people of all nationalities have been fascinated and easily touched by accounts of unhappy love","Since the advent of literature, people of all nationalities have been fascinated and easily touched by accounts of unhappy love. As for the historical and artistic value of this film, it is well-made and I highly recommend it to any who are going to see it, as it shows the way people are feeling in relation to their own and others too, and especially to those in the middle and high classes of the day. Much has been written about the impact of love on society and the world, but I would venture to claim this is one of its greatest and most powerful plays, which I enjoyed immensely.<br /><br />It is also a great movie for all audiences, I think, because of it's powerful portrayal of life in Europe and of history in general. It is a film that has an incredible capacity for emotional and philosophical exchanges, a very powerful way of expressing ideas that are not static or static, the beauty of beauty and what the difference is between the good and bad, among other things. This is the movie you must see in order to be able to judge the amazing power of a play and also to identify it with the subject of friendship, love and conflict. I enjoy this movie so much because it deals with modern times, with history, of class, nationalism and so on. The way the war has affected people in different parts of Europe is incredible, very"
44,Post-feminist depiction of cruelty and sadism,"Post-feminist depiction of cruelty and sadism by the film, it is also a great film of struggle and rebellion, and it shows the strength of an individual's capacity to struggle against oppression and injustice, through the power of the collective will. This is a striking film because of its beauty, as well as the skill of actors, the wonderful story, superb performances, great cinematography, dramatic effects, stunning cinemas, fine art, history, cinema, music, dance, drama, etc., it's a powerful film to watch. It is an amazing film with an incredible story to tell, an extraordinary performance, incredible cinematographic effects and an incredibly powerful soundtrack. The music by R.E.C. is perfect for this film and adds to the tremendous impact it has on the audience. I highly recommend this to anyone who enjoys the superb music and beautiful cinemata created by Salvador Dali. Dalian perfected cinema and made films in many different styles of film making, not only today but also in different times and places. In this new film it also is amazing, because it was made in a beautiful style, with amazing cinematics, amazing effects etc. There is still an element of truth in the way in which individuals act, in how they act and how a person acts in relation to others, since"
45,"The part where Meg visits the mechanic and he says - ""Is the piston firing short?"" (implying poor sexual energy on the part of her fiancée) was hilarious","The part where Meg visits the mechanic and he says - ""Is the piston firing short?"" (implying poor sexual energy on the part of her fiancée) was hilarious. It was a great movie, for all ages and the role of the woman in it was fantastic. I loved it, and I will always have a fond memory of it. This is a must see for the audience, especially those of us who get into carolism. If you have never had a car accident before, you will appreciate it very much. There is not much to it other then the amazing sound track, the great acting, great music and fantastic effects. The film is very well made, very fast and very realistic, making this film a very unique one. At the same time, I think this is one of my favourite movies of all times. Everyone should buy this one, it has it's unique effect and is fantastic! I highly recommend this to all carolles who are new to the film, anyone who has never seen the classic carols, or loved them before I did, definitely give it a go! Also I like the way the story is told, as well as the acting of both Meg and her friends, this movie is definitely one great film! If anyone has any advice for movie-goers or anyone that likes to watch a movie with a story, then I would definitely recommend it to them! It's a good movie!"
46,I really miss the production of good old fashion Spooky films,"I really miss the production of good old fashion Spooky films like these from the 90's and early 2000's, and I find it very very rewarding to be able to experience the wonderful world that is Spook/Theos. I loved it. It's one of the best horror films I've ever seen. The acting is superb and the story is true to the legend of Spooks. Definitely one to watch and find yourself a copy. You'll be amazed at how good the movie is. This film is perfect for a Spooked movie! It is a great movie and it makes you laugh great. There is also a lot of great music and great acting from each of these actors. Even though most Spokes have a certain style, I love the style of this movie. Everyone has a unique style and style. For adults there is nothing more amazing than Spoking, for children there you have nothing to hide. Spitting is one great Spoke! I will be buying this again and again! This is definitely one that I am very fond of and recommend it to all Spoilers and horror fans! A must-have for Spiders fans and non-tech fans, it is the perfect Spinning movie to rent and watch. IT'S LUCKY! You won't regret renting it! Everyone that has seen"
47,"The Running Man is one of those films that if overwatched, would become boring and depressing even","The Running Man is one of those films that if overwatched, would become boring and depressing even when watched by a serious audience, and is a great film for someone who likes to have a good time. This film will also make a very great companion piece to your film collection. It is an excellent film and gives a wonderful sense of humour. I highly suggest this to anyone who is looking for a film that is great to watch, or a comedy film to enjoy! This is perfect for the younger audience and I loved it. The acting is fantastic and the story is full of surprises so you will not be disappointed. Many people have commented on the way this film is written, it is very well written and it has wonderful scenes. You will want to see this movie for yourself! It will make you smile! Definitely a must see! I recommend this highly! As a fan of film, I think this is the perfect film as a companion to my film library. If you are a big fan, this must be the one for you! The perfect companion on film! Anyone who's a huge fan knows that this may be one great movie to rent, so if you're a sucker for good laughs, you might like this as well! If not, just rent this! You'll definitely love it, as it's perfect in my opinion! Everyone who has seen the"
